method,function_value,error,arguments,time_duration
evolution strategies algorithm search,1.5674537424721462e-08,1.5674537424721462e-08,"[-3.786012272709565e-05, 4.675490226506114e-05, -0.00010979584530388796]",0.03911280632019043
evolution strategies algorithm search,2.1970331385928482e-07,2.1970331385928482e-07,"[0.0003379223123562839, -0.0002970369390105594, -0.000131456766787808]",0.03560233116149902
evolution strategies algorithm search,3.729348508229793e-07,3.729348508229793e-07,"[-2.8595886267298882e-05, 0.00041456515047388724, 0.0004474962146478227]",0.03594684600830078
evolution strategies algorithm search,1.7856056745467463e-07,1.7856056745467463e-07,"[-0.0002531467368759679, 0.00014076552737469605, -0.00030767249367898944]",0.03542613983154297
evolution strategies algorithm search,2.0582838687517443e-07,2.0582838687517443e-07,"[-0.00041515664613900555, 0.00015256656468829426, -0.00010097915320005145]",0.03579258918762207
evolution strategies algorithm search,7.761659276453152e-07,7.761659276453152e-07,"[-8.526002252820996e-06, 0.000866320644471898, -0.00015994303952562416]",0.03762340545654297
evolution strategies algorithm search,9.597077695578174e-07,9.597077695578174e-07,"[2.0672622288189085e-05, 0.0007801240884064491, 0.0005921881617641086]",0.036783695220947266
evolution strategies algorithm search,3.8197813644088504e-08,3.8197813644088504e-08,"[-8.273299685067965e-05, 5.311928164925496e-05, 0.00016891242344262622]",0.03534078598022461
evolution strategies algorithm search,1.9922595690679244e-08,1.9922595690679244e-08,"[0.00012101026899697786, -7.132525901360715e-05, -1.3849834461110124e-05]",0.03610587120056152
evolution strategies algorithm search,1.1320532652038028e-06,1.1320532652038028e-06,"[-0.00022298352780699207, -0.0005745900984376725, -0.0008672818632416666]",0.037113189697265625
evolution strategies algorithm search,3.5115078925244584e-09,3.5115078925244584e-09,"[-3.135864792409864e-05, 9.09149890158152e-06, 4.9451872973826024e-05]",0.0358729362487793
evolution strategies algorithm search,5.691744532394203e-07,5.691744532394203e-07,"[0.0006162839819247536, 0.0004337888082238269, 3.458000465792808e-05]",0.04590153694152832
evolution strategies algorithm search,3.917974028532727e-08,3.917974028532727e-08,"[-0.00012356503745010274, -0.00014818864067138915, 4.4176335081668865e-05]",0.03657865524291992
evolution strategies algorithm search,5.037573662544857e-07,5.037573662544857e-07,"[0.0004337997657999574, -0.0005485183347641151, -0.00012125496226542652]",0.035715341567993164
evolution strategies algorithm search,1.678680009237696e-06,1.678680009237696e-06,"[0.0006651954110759233, -0.00018887949168395687, 0.0010956822586600731]",0.03544497489929199
evolution strategies algorithm search,7.562076441038005e-06,7.562076441038005e-06,"[-0.0015785640023389287, 4.5970217388701e-05, -0.0022512438496686544]",0.038475751876831055
evolution strategies algorithm search,6.098920872935976e-09,6.098920872935976e-09,"[6.0426679511975395e-05, 4.743488212231887e-05, 1.4052374679558701e-05]",0.03882288932800293
evolution strategies algorithm search,1.4574835929241523e-06,1.4574835929241523e-06,"[0.00038385083723103605, 0.0001867514040818013, 0.001129276777745235]",0.034734487533569336
evolution strategies algorithm search,4.272458320783247e-08,4.272458320783247e-08,"[8.258422876160836e-05, -0.00016485208418481754, -9.342493621943037e-05]",0.03659176826477051
evolution strategies algorithm search,2.8189107017769376e-07,2.8189107017769376e-07,"[-0.000521297023717995, 3.700454291438119e-05, 9.365440216109268e-05]",0.03560137748718262
evolution strategies algorithm search,4.3790927876852026e-06,4.3790927876852026e-06,"[0.0005667190786477882, 0.0018518914965263492, -0.0007927295621302406]",0.034618377685546875
evolution strategies algorithm search,8.578763926137686e-07,8.578763926137686e-07,"[-0.000693877191078434, -0.0006015430039098767, 0.00012065177479818985]",0.03537583351135254
evolution strategies algorithm search,1.6224574640547445e-07,1.6224574640547445e-07,"[-7.096937436990762e-05, 0.0001872252914249901, 0.0003495079177326973]",0.03991866111755371
